uid,CAS No.,SMILES,Toxicity (mg/L),species,cid,Canonical_Smiles
805,298-14-6,C(O)(=O)[O-].[K+],1400.0,RT,805,No non-salt/solvate components
808,7647-14-5,[Na+].[Cl-],6094.0,RT,808,No non-salt/solvate components
809,67-64-1,CC(=O)C,8000.0,RT,809,No non-salt/solvate components
812,64-17-5,C(C)O,13200.0,RT,812,No non-salt/solvate components
813,1302-78-9,O=[Al]O[Al]=O.[Si](=O)=O.O,19000.0,RT,813,No non-salt/solvate components
814,56-81-5,OCC(O)CO,54000.0,RT,814,No non-salt/solvate components
830,639-58-7,[Sn](c1ccccc1)(c1ccccc1)(c1ccccc1)Cl,0.037000000000000005,RT,830,No non-salt/solvate components
846,1317-39-1,[Cu].[Cu].O,0.207,RT,846,No non-salt/solvate components
930,64-19-7,C(C)(O)=O,45.0,RT,930,No non-salt/solvate components
932,7778-39-4,O[As](=O)(O)O,53.1,RT,932,No non-salt/solvate components
934,11130-12-4,B(O)(O)O.O.[Na+].O.O.O.O,65.0,RT,934,No non-salt/solvate components
944,1332-58-7,[SiH](=O)(O[SiH](=O)O[AlH]=O)O[AlH]=O.O.O,100.0,RT,944,No non-salt/solvate components
961,144-21-8,[As](C)(=O)([O-])[O-].[Na+].[Na+],114.0,RT,961,No non-salt/solvate components
974,7784-26-1,S(=O)(=O)([O-])[O-].S(=O)(=O)([O-])[O-].O.[Al+3].[NH4+].O.O.O.O.O.O.O.O.O.O.O,523.0,RT,974,No non-salt/solvate components
1173,Potassium dodecanoate,CCCCCCCCCCCC(=O)[O-],0.41,BS,1173,No non-salt/solvate components
1176,"2,4,5-TRICHLOROPHENOL",Oc1cc(Cl)c(Cl)cc1Cl,0.45,BS,1176,No non-salt/solvate components
1456,"9-Octadecenoic acid (Z)-, copper(2++) salt",CCCCCCCC\C=C/CCCCCCCC(=O)[O-],14.0,BS,1456,No non-salt/solvate components
1485,Copper citrate,OC(=O)C[C@](O)(CC(=O)[O-])C(=O)O,22.5,BS,1485,No non-salt/solvate components
1486,Potassium oleate,CCCCCCCCC=CCCCCCCCC(=O)[O-],23.0,BS,1486,No non-salt/solvate components
1511,"Acetic acid, copper salt",CC(=O)O,34.5,BS,1511,No non-salt/solvate components
1522,Ethylenediaminetetraacetic acid,OC(=O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,41.0,BS,1522,No non-salt/solvate components
1553,Propionic acid,CCC(=O)O,85.3,BS,1553,No non-salt/solvate components
1575,Ethylene glycol monomethyl ether,COCCO,100.0,BS,1575,No non-salt/solvate components
1614,L-Lactic acid,C[C@H](O)C(=O)O,130.0,BS,1614,No non-salt/solvate components
1627,Picric acid,Oc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],170.0,BS,1627,No non-salt/solvate components
1632,Sodium propionate,CCC(=O)[O-],180.0,BS,1632,No non-salt/solvate components
1651,Ethanolamine,NCCO,300.0,BS,1651,No non-salt/solvate components
1664,Ethylenediaminetetraacetic acid tetrasodium salt hydrate,[O-]C(=O)CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],486.0,BS,1664,No non-salt/solvate components
1679,Diethanolamine,OCCNCCO,775.0,BS,1679,No non-salt/solvate components
1699,Polypropylene glycol,CC(O)CO,1700.0,BS,1699,No non-salt/solvate components
1701,"Glycine, N,N'-1,2-ethanediylbis[N-(carboxymethyl)-, diammonium salt",OC(=O)CN(CCN(CC(=O)O)CC(=O)[O-])CC(=O)[O-],2340.0,BS,1701,No non-salt/solvate components
1709,Acetone,CC(=O)C,8300.0,BS,1709,No non-salt/solvate components
1817,Sodium dedecyl sulfate,CCCCCCCCCCCCOS(=O)(=O)[O-],4.5,BS,1817,No non-salt/solvate components
1832,"Copper, ((2,2',2''-nitrilotris(ethanolato))(2-)-N,O,O',O"")-",OCCN(CC[O-])CC[O-],17.6,BS,1832,No non-salt/solvate components
2051,"2,4,5-TRICHLOROPHENOL",Oc1cc(Cl)c(Cl)cc1Cl,0.902,FHM,2051,No non-salt/solvate components
2196,Maleic acid,OC(=O)C=CC(=O)O,5.0,FHM,2196,No non-salt/solvate components
2228,Sodium dedecyl sulfate,CCCCCCCCCCCCOS(=O)(=O)[O-],6.6,FHM,2228,No non-salt/solvate components
2303,Butyraldehyde,CCCC=O,13.4,FHM,2303,No non-salt/solvate components
2459,Acetic acid,CC(=O)O,79.0,FHM,2459,No non-salt/solvate components
2472,Hexanoic acid,CCCCCC(=O)O,88.0,FHM,2472,No non-salt/solvate components
2479,Adipic acid,OC(=O)CCCCC(=O)O,97.0,FHM,2479,No non-salt/solvate components
2481,Diethanolamine,OCCNCCO,100.0,FHM,2481,No non-salt/solvate components
2482,Ethanol,CCO,100.0,FHM,2482,No non-salt/solvate components
2486,Acetone,CC(=O)C,100.0,FHM,2486,No non-salt/solvate components
2490,Sodium benzoate,[O-]C(=O)c1ccccc1,100.0,FHM,2490,No non-salt/solvate components
2514,Ethylenediamine,NCCN,115.7,FHM,2514,No non-salt/solvate components
2630,Propylene Glycol,CC(O)CO,710.0,FHM,2630,No non-salt/solvate components
2638,Diethylamine,CCNCC,855.0,FHM,2638,No non-salt/solvate components
2648,Sodium salicylate,Oc1ccccc1C(=O)[O-],1370.0,FHM,2648,No non-salt/solvate components
2659,Ethanolamine,NCCO,2070.0,FHM,2659,No non-salt/solvate components
2686,Triethanolamine,OCCN(CCO)CCO,11800.0,FHM,2686,No non-salt/solvate components
2690,Sodium saccharin,O=C1[N-]S(=O)(=O)c2ccccc12,18300.0,FHM,2690,No non-salt/solvate components
2824,Ethylenediaminetetraacetic acid,OC(=O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,59.8,FHM,2824,No non-salt/solvate components
2828,Pentanoic acid,CCCCC(=O)O,77.0,FHM,2828,No non-salt/solvate components
2833,"Ferrate(1-), [[N,N'-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, sodium, (OC-6-21)-",[O-]C(=O)CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],100.0,FHM,2833,No non-salt/solvate components
2851,Oleic acid,CCCCCCCCC=CCCCCCCCC(=O)O,205.0,FHM,2851,No non-salt/solvate components
